jockey_name,total_races,wins,top2,top3,win_rate,place_rate,show_rate,avg_position
吉原寛,2658,619,1078,1411,23.29,40.56,53.09,3.94
米倉知,2165,445,777,1050,20.55,35.89,48.5,4.1
中島龍,5063,897,1693,2369,17.72,33.44,46.79,4.24
藤田弘,4310,706,1335,1939,16.38,30.97,44.99,4.4
青柳正,5145,802,1595,2266,15.59,31.0,44.04,4.42
加藤翔,1417,202,383,550,14.26,27.03,38.81,4.66
畑中信,1926,267,522,753,13.86,27.1,39.1,4.69
田知弘,2828,386,689,1004,13.65,24.36,35.5,5.05
吉田晃,3251,419,827,1189,12.89,25.44,36.57,4.94
栗原大,5398,634,1202,1839,11.75,22.27,34.07,4.98
平瀬城,2519,288,529,793,11.43,21.0,31.48,5.27
池田敦,2809,320,680,1025,11.39,24.21,36.49,4.91
岡部誠（愛知）,55,6,16,28,10.91,29.09,50.91,4.56
堀場裕,3840,370,818,1202,9.64,21.3,31.3,5.1
柴田勇,4054,370,793,1253,9.13,19.56,30.91,5.22
葛山晃,3631,312,710,1144,8.59,19.55,31.51,5.18
松戸政,4011,321,680,1157,8.0,16.95,28.85,5.33
沖静男,3685,288,603,952,7.82,16.36,25.83,5.64
塚本雄,221,17,47,71,7.69,21.27,32.13,5.24
鈴木太,3722,260,551,892,6.99,14.8,23.97,5.7
桑野等,1273,82,210,368,6.44,16.5,28.91,5.24
松木大,250,16,32,56,6.4,12.8,22.4,6.06
魚住謙,2437,148,360,582,6.07,14.77,23.88,5.64
兼子千,2049,115,266,492,5.61,12.98,24.01,5.72
岡村卓,109,6,10,22,5.5,9.17,20.18,5.94
木本直,130,7,18,28,5.38,13.85,21.54,5.62
西森将,348,17,55,95,4.89,15.8,27.3,5.14
塚本弘,809,37,89,163,4.57,11.0,20.15,6.13
甲賀弘,2116,96,238,414,4.54,11.25,19.57,5.88
拜原靖,97,3,13,25,3.09,13.4,25.77,6.0
