feature,importance
horse_avg_finish,17898.55224943161
horse_total_races,7262.66338968277
horse_place_rate,7156.591148853302
jockey_place_rate,3269.7786531448364
horse_days_since_last_race,2998.8215103149414
jockey_win_rate,2909.331145763397
horse_count,2617.6087441444397
trainer_win_rate,2047.9633340835571
trainer_place_rate,1933.285804271698
jockey_avg_finish,1925.9209604263306
trainer_total_races,1917.1560850143433
jockey_total_races,1886.5751566886902
horse_win_rate,1246.8124237060547
distance,643.3790082931519
gate_number,610.7844595909119
horse_number,382.9453501701355
track_良,228.2824683189392
distance_1300-1400m,134.7175693511963
track_重,97.68249893188477
track_不良,43.31242084503174
track_稍重,39.353710651397705
distance_1700-1800m,35.1161994934082
distance_1500-1600m,32.609609603881836
distance_1900-2000m,0.0
distance_2100m-,0.0
